player_name,team,raptor_box_offense,raptor_box_defense.raptor_box_total,predator_offense,predator_defense,predator_total
John Collins,ATL,2.473235393,-0.287192618,2.186042775,3.4621486,-1.044357041,2.417791558
Zach Collins,POR,-0.519040616,-0.32353975,-0.842580366,-1.958082612,1.055799838,-0.902282774
Zach Collins,POR,-1.158096904,-0.762081935,-1.920178839,-1.772989772,-0.771158371,-2.544148143
Bonzie Colson,MIL,-2.510220606,-3.834669705,-6.344890311,-1.810751601,-4.581203581,-6.391955182
Mike Conley,MEM,4.573464586,1.491785628,6.065250215,3.512718915,2.155744018,5.668462933
Pat Connaughton,MIL,0.388577123,1.325428522,1.714005645,0.163740899,0.830961723,0.994702622
Pat Connaughton,MIL,-0.098927637,0.525336367,0.42640873,-0.275014368,0.113280286,-0.161734083
Quinn Cook,GSW,-1.643595781,-1.538015317,-3.181611098,-2.400939142,-3.950711062,-6.351650205
Quinn Cook,GSW,0.299605895,-3.942648815,-3.64304292,0.080672271,-3.74570733,-3.665035059
DeMarcus Cousins,GSW,-3.832696339,0.880870315,-2.951826024,-2.981340254,0.572402296,-2.408937957
DeMarcus Cousins,GSW,0.151438529,6.521565893,6.673004422,1.320562841,5.283799125,6.604361965
Robert Covington,PHI,-1.170210999,5.80723496,4.637023961,-0.326295681,4.883483427,4.557187747
Robert Covington,MIN,0.24194009,1.996311696,2.238251786,0.038932897,3.932704222,3.971637119
Allen Crabbe,BRK,-2.521498646,0.180579663,-2.340918984,-2.525984208,0.037788947,-2.488195261
Torrey Craig,DEN,0.493102723,0.959836757,1.45293948,-0.963799187,0.713641818,-0.25015737
Torrey Craig,DEN,-1.044198064,0.531686139,-0.512511925,-0.611197091,0.122675637,-0.488521454
Jamal Crawford,PHO,-0.236624353,-5.70237242,-5.938996773,-1.453148068,-6.102992766,-7.556140833
Mitchell Creek,BRK,7.93929245,-3.198528142,4.740764308,7.456860767,-3.079974756,4.376886012
Mitchell Creek,MIN,-4.034042987,-8.627179117,-12.6612221,0.346102726,-10.26738959,-9.921286866
Jae Crowder,UTA,1.28320348,1.839035086,3.122238566,-2.83820723,1.552008205,-1.286199024
